variety,points,price
Tempranillo Blend,87.91288343558283,35.38951310861423
Tempranillo-Cabernet Sauvignon,86.0909090909091,34.1948051948052
Tempranillo-Garnacha,84.38636363636364,11.454545454545455
Tempranillo-Malbec,90.5,29.0
Tempranillo-Merlot,85.0,14.9375
Tempranillo-Shiraz,84.33333333333333,14.25
Tempranillo-Syrah,86.5,17.5
Tempranillo-Tannat,88.0,20.0
Teran,87.54545454545455,24.545454545454547
Teroldego,88.54285714285714,31.029411764705884
Teroldego Rotaliano,86.0,15.0
Terrantez,95.0,236.0
Terret Blanc,88.0,
Thrapsathiri,88.0,25.0
Timorasso,90.75,45.75
Tinta Amarela,90.0,30.0
Tinta Barroca,87.5,26.5
Tinta Cao,90.0,14.0
Tinta Fina,87.76923076923077,30.076923076923077
Tinta Francisca,90.33333333333333,50.0
Tinta Madeira,89.0,45.0
Tinta Miúda,88.0,21.0
Tinta Negra Mole,87.66666666666667,46.666666666666664
Tinta Roriz,88.1875,31.2
Tinta de Toro,89.31390134529148,46.84234234234234
Tinta del Pais,95.0,47.5
Tinta del Toro,86.33333333333333,23.333333333333332
Tintilia ,87.0,25.0
Tinto Fino,89.86363636363636,65.48181818181818
Tinto Velasco,85.0,9.0
Tinto del Pais,87.92063492063492,55.33870967741935
Tocai,88.27272727272727,20.5
Tocai Friulano,87.30555555555556,25.0625
Tocai Rosso,84.0,16.0
Tokaji,90.70588235294117,74.04
Tokay,92.23076923076923,74.15384615384616
Tokay Pinot Gris,88.0,28.25
Torbato,89.0,21.0
Torontel,92.0,40.0
Torrontés,85.32183908045977,13.206395348837209
Touriga,89.0,45.5
Touriga Franca,88.66666666666667,23.625
Touriga Nacional,88.82644628099173,28.67142857142857
Touriga Nacional Blend,89.13636363636364,28.4375
Touriga Nacional-Cabernet Sauvignon,88.21212121212122,14.533333333333333
Trajadura,86.0,7.0
Traminer,87.47826086956522,23.121951219512194
Traminette,84.75,14.333333333333334
Trebbiano,86.83870967741936,22.384615384615383
Trebbiano Spoletino,87.71428571428571,22.4
Trebbiano di Lugana,86.6,23.6
Trebbiano-Malvasia,90.66666666666667,49.0
Treixadura,87.5,16.5
Trepat,87.3076923076923,21.53846153846154
Trincadeira,87.66666666666667,20.19047619047619
Trollinger,90.5,21.5
Trousseau,87.16666666666667,37.666666666666664
Trousseau Gris,88.5,22.5
Tsapournakos,90.0,27.0
Tsolikouri,87.0,14.0
Turbiana,88.8639455782313,23.440298507462686
Tămâioasă Românească,88.0,11.0
Ugni Blanc,90.66666666666667,27.0
